SRC,DST,FRAME,migranty,sname,dname
1713000,71952000,100,4,Новоалтайск,Губкинский
1713000,77609000,100,1,Новоалтайск,Билибинский район
1716000,4653000,100,1,Рубцовск,Диксонский район
1716000,4729000,100,8,Рубцовск,Норильск
1716000,47701000,100,3,Рубцовск,Мурманск
1716000,47715000,100,1,Рубцовск,Мончегорск
1716000,47730000,100,4,Рубцовск,Североморск
1716000,71916000,100,1,Рубцовск,Надымский район
1716000,71920000,100,1,Рубцовск,Пуровский район
1716000,71952000,100,1,Рубцовск,Губкинский
1716000,71956000,100,8,Рубцовск,Новый Уренгой
1716000,71958000,100,3,Рубцовск,Ноябрьск
1716000,77701000,100,3,Рубцовск,Анадырь
1716000,87710000,100,2,Рубцовск,Воркута
1716000,87715000,100,1,Рубцовск,Инта
1716000,98622000,100,1,Рубцовск,Жиганский район
1719000,47701000,100,3,Славгород,Мурманск
1719000,47730000,100,3,Славгород,Североморск
1719000,47737000,100,1,Славгород,Александровск
1719000,71916000,100,2,Славгород,Надымский район
1719000,71920000,100,1,Славгород,Пуровский район
1719000,71951000,100,6,Славгород,Салехард
1719000,71952000,100,2,Славгород,Губкинский
1719000,71953000,100,1,Славгород,Лабытнанги
1719000,71955000,100,5,Славгород,Муравленко
1719000,71956000,100,1,Славгород,Новый Уренгой
1719000,71958000,100,1,Славгород,Ноябрьск
1719000,77609000,100,2,Славгород,Билибинский район
1719000,98615000,100,1,Славгород,Верхнеколымский район
1730000,4653000,100,3,Яровое,Диксонский район
1730000,4729000,100,1,Яровое,Норильск
1730000,47701000,100,3,Яровое,Мурманск
1730000,71913000,100,1,Яровое,Красноселькупский район
1730000,71916000,100,1,Яровое,Надымский район
1730000,71920000,100,1,Яровое,Пуровский район
1730000,71951000,100,2,Яровое,Салехард
1730000,71956000,100,4,Яровое,Новый Уренгой
1730000,71958000,100,1,Яровое,Ноябрьск
1730000,77609000,100,1,Яровое,Билибинский район
1730000,87723000,100,1,Яровое,Усинск
1755000,47701000,100,2,Сибирский,Мурманск
3601000,4729000,100,2,Абинский район,Норильск
3601000,11701000,100,1,Абинский район,Архангельск
3601000,47701000,100,3,Абинский район,Мурманск
3601000,47703000,100,1,Абинский район,Ковдорский район
3601000,47715000,100,1,Абинский район,Мончегорск
3601000,47737000,100,1,Абинский район,Александровск
3601000,71916000,100,2,Абинский район,Надымский район
3601000,71920000,100,2,Абинский район,Пуровский район
3601000,71928000,100,1,Абинский район,Ямальский район
3601000,71952000,100,2,Абинский район,Губкинский
3601000,71955000,100,2,Абинский район,Муравленко
3601000,71956000,100,2,Абинский район,Новый Уренгой
3601000,71958000,100,2,Абинский район,Ноябрьск
3601000,77701000,100,1,Абинский район,Анадырь
3601000,86706000,100,1,Абинский район,Костомукша
3601000,87710000,100,1,Абинский район,Воркута
3601000,87715000,100,1,Абинский район,Инта
3601000,87723000,100,5,Абинский район,Усинск
3605000,4729000,100,5,Апшеронский район,Норильск
3605000,11701000,100,4,Апшеронский район,Архангельск
3605000,11730000,100,2,Апшеронский район,Северодвинск
3605000,11851000,100,2,Апшеронский район,Нарьян-Мар
3605000,47615000,100,2,Апшеронский район,Печенгский район
3605000,47701000,100,8,Апшеронский район,Мурманск
3605000,47715000,100,1,Апшеронский район,Мончегорск
3605000,47730000,100,1,Апшеронский район,Североморск
3605000,47733000,100,1,Апшеронский район,Заозерск
3605000,47735000,100,1,Апшеронский район,Видяево
3605000,47737000,100,2,Апшеронский район,Александровск
3605000,71913000,100,1,Апшеронский район,Красноселькупский район
3605000,71916000,100,4,Апшеронский район,Надымский район
3605000,71918000,100,1,Апшеронский район,Приуральский район
3605000,71920000,100,5,Апшеронский район,Пуровский район
3605000,71923000,100,2,Апшеронский район,Тазовский район
3605000,71951000,100,2,Апшеронский район,Салехард
3605000,71952000,100,3,Апшеронский район,Губкинский
3605000,71953000,100,1,Апшеронский район,Лабытнанги
3605000,71955000,100,6,Апшеронский район,Муравленко
3605000,71956000,100,6,Апшеронский район,Новый Уренгой
3605000,71958000,100,2,Апшеронский район,Ноябрьск
3605000,77603000,100,1,Апшеронский район,Анадырский район
3605000,77701000,100,1,Апшеронский район,Анадырь
3605000,86706000,100,2,Апшеронский район,Костомукша
3605000,87710000,100,6,Апшеронский район,Воркута
3605000,87723000,100,5,Апшеронский район,Усинск
3607000,47701000,100,2,Белоглинский район,Мурманск
3607000,47717000,100,1,Белоглинский район,Оленегорск
3607000,47730000,100,1,Белоглинский район,Североморск
3607000,71916000,100,2,Белоглинский район,Надымский район
3607000,71951000,100,1,Белоглинский район,Салехард
3607000,71956000,100,1,Белоглинский район,Новый Уренгой
3607000,86604000,100,1,Белоглинский район,Беломорский район
3608000,4729000,100,1,Белореченский район,Норильск
3608000,11648000,100,1,Белореченский район,Пинежский район
3608000,47610000,100,1,Белореченский район,Ловозерский район
3608000,47615000,100,1,Белореченский район,Печенгский район
3608000,47701000,100,4,Белореченский район,Мурманск
3608000,47705000,100,1,Белореченский район,Апатиты
3608000,47715000,100,1,Белореченский район,Мончегорск
3608000,47717000,100,1,Белореченский район,Оленегорск
3608000,47730000,100,3,Белореченский район,Североморск
3608000,47737000,100,1,Белореченский район,Александровск
3608000,71916000,100,1,Белореченский район,Надымский район
3608000,71918000,100,1,Белореченский район,Приуральский район
3608000,71928000,100,1,Белореченский район,Ямальский район
3608000,71953000,100,1,Белореченский район,Лабытнанги
3608000,71956000,100,2,Белореченский район,Новый Уренгой
3608000,77609000,100,1,Белореченский район,Билибинский район
3608000,77615000,100,1,Белореченский район,Иультинский район
3608000,77701000,100,2,Белореченский район,Анадырь
3608000,86604000,100,1,Белореченский район,Беломорский район
3608000,87710000,100,1,Белореченский район,Воркута
3608000,87723000,100,1,Белореченский район,Усинск
3610000,4729000,100,3,Брюховецкий район,Норильск
3610000,11851000,100,2,Брюховецкий район,Нарьян-Мар
3610000,47605000,100,1,Брюховецкий район,Кольский район
3610000,47608000,100,1,Брюховецкий район,Кандалакша
3610000,47701000,100,3,Брюховецкий район,Мурманск
3610000,71916000,100,3,Брюховецкий район,Надымский район
3610000,71920000,100,1,Брюховецкий район,Пуровский район
3610000,71953000,100,2,Брюховецкий район,Лабытнанги
3610000,71958000,100,2,Брюховецкий район,Ноябрьск
3610000,87715000,100,1,Брюховецкий район,Инта
3612000,4729000,100,1,Выселковский район,Норильск
3612000,11652000,100,13,Выселковский район,Приморский район
3612000,11701000,100,1,Выселковский район,Архангельск
3612000,11851000,100,1,Выселковский район,Нарьян-Мар
3612000,47701000,100,1,Выселковский район,Мурманск
3612000,47705000,100,1,Выселковский район,Апатиты
