Название;Год;МО;Регион;Тип;Широта;Долгота;Численность населения
г. Норильск;1970;ГО Норильск;Красноярский край;город;69.3535;88.2027;135487.0
г. Норильск;1979;ГО Норильск;Красноярский край;город;69.3535;88.2027;180358.0
г. Норильск;1989;ГО Норильск;Красноярский край;город;69.3535;88.2027;179757.0
г. Норильск;2002;ГО Норильск;Красноярский край;город;69.3535;88.2027;134832.0
г. Норильск;2010;ГО Норильск;Красноярский край;город;69.3535;88.2027;175365.0
г. Норильск;2021;ГО Норильск;Красноярский край;город;69.3535;88.2027;174453.0
г. Ноябрьск;1989;ГО Ноябрьск;Ямало-Ненецкий АО;город;63.19309;75.43728;87144.0
г. Ноябрьск;2002;ГО Ноябрьск;Ямало-Ненецкий АО;город;63.19309;75.43728;96440.0
г. Ноябрьск;2010;ГО Ноябрьск;Ямало-Ненецкий АО;город;63.19309;75.43728;110620.0
г. Ноябрьск;2021;ГО Ноябрьск;Ямало-Ненецкий АО;город;63.19309;75.43728;100188.0
г. Оленегорск;1959;МО Оленегорск;Мурманская область;город;68.1432;33.25287;12110.0
г. Оленегорск;1970;МО Оленегорск;Мурманская область;город;68.1432;33.25287;21485.0
г. Оленегорск;1979;МО Оленегорск;Мурманская область;город;68.1432;33.25287;27369.0
г. Оленегорск;1989;МО Оленегорск;Мурманская область;город;68.1432;33.25287;36377.0
г. Оленегорск;2002;МО Оленегорск;Мурманская область;город;68.1432;33.25287;25166.0
г. Оленегорск;2010;МО Оленегорск;Мурманская область;город;68.1432;33.25287;23072.0
г. Оленегорск;2021;МО Оленегорск;Мурманская область;город;68.1432;33.25287;21438.0
г. Онега;1939;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;15783.0
г. Онега;1959;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;21306.0
г. Онега;1970;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;25047.0
г. Онега;1979;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;24986.0
г. Онега;1989;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;25748.0
г. Онега;2002;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;23430.0
г. Онега;2010;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;21359.0
г. Онега;2021;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;16947.0
г. Островной;2002;ЗАТО Островной;Мурманская область;город;68.05306;39.51306;5032.0
г. Островной;2010;ЗАТО Островной;Мурманская область;город;68.05306;39.51306;2171.0
г. Островной;2021;ЗАТО Островной;Мурманская область;город;68.05306;39.51306;1487.0
г. Певек;1970;ГО Певек;Чукотский АО;город;69.70287;170.29993;10528.0
г. Певек;1979;ГО Певек;Чукотский АО;город;69.70287;170.29993;11060.0
г. Певек;1989;ГО Певек;Чукотский АО;город;69.70287;170.29993;13299.0
г. Певек;2002;ГО Певек;Чукотский АО;город;69.70287;170.29993;5206.0
