Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
пос. При 19 Шлюзе ББК;132971;Республика Карелия;Беломорский;При 19 Шлюзе ББК;п;2;0;64.28.51;034.47.57;64.48083333;34.79916667;86604101151;0;1;поселок
ст. Рикасиха;30248;Архангельская область;Северодвинск;Рикасиха;ж/д_ст;2;0;64.29.49;039.59.21;64.49694444;39.98916667;11730000156;1;0;станция
д. Саломат;48265;Архангельская область;Приморский муниципальный район;Саломат;д;2;0;64.26.43;040.39.32;64.44527778;40.65888889;11652436206;0;1;деревня
д. Семеновская;142375;Архангельская область;Онежский муниципальный район;Семеновская;д;2;0;63.36.58;038.41.14;63.61611111;38.68722222;11646436161;0;1;деревня
д. Студименское;65974;Архангельская область;Приморский муниципальный район;Студименское;д;2;0;64.34.44;040.17.33;64.57888889;40.2925;11652446306;0;1;деревня
пос. Сухая Тунгуска;10166;Красноярский край;Туруханский район;Сухая Тунгуска;п;2;0;65.10.21;087.55.45;65.1725;87.92916667;4654701977;0;1;поселок
пос. Тик-Губа;109125;Мурманская область;Городской округ город Апатиты с подведомственной территорией;Тик-Губа;нп;2;0;67.33.20;033.19.27;67.55555556;33.32416667;47705000106;1;0;поселок
ст. Тундра;122535;Архангельская область;Приморский муниципальный район;Тундра;ж/д_ст;2;0;64.09.28;040.35.16;64.15777778;40.58777778;11652436261;1;0;станция
д. Тухкала;85841;Республика Карелия;Лоухский;Тухкала;д;2;0;65.41.43;030.46.35;65.69527778;30.77638889;86621425116;0;1;деревня
д. Усолье;155494;Архангельская область;Онежский муниципальный район;Усолье;д;2;0;62.59.19;039.19.51;62.98861111;39.33083333;11646444291;0;1;деревня
д. Усть-Поча;29642;Архангельская область;Пинежский муниципальный район;Усть-Поча;д;2;0;64.32.23;043.56.49;64.53972222;43.94694444;11648427199;0;1;деревня
пос. Хановей;10884;Республика Коми;ГО Воркута;Хановей;п;2;0;67.16.57;063.39.09;67.2825;63.6525;87710000121;0;1;поселок
д. Холм (МР Пинежский 2);63504;Архангельская область;Пинежский муниципальный район;Холм (МР Пинежский 2);д;2;0;64.33.35;045.36.41;64.55972222;45.61138889;11648427201;0;1;деревня
с. Чекуево;50195;Архангельская область;Онежский муниципальный район;Чекуево;с;2;0;63.34.54;038.58.38;63.58166667;38.97722222;11646444331;0;1;село
д. Шаста;58481;Архангельская область;Пинежский муниципальный район;Шаста (деревня);д;2;0;64.16.31;044.17.06;64.27527778;44.285;11648425141;0;1;деревня
д. Анциферовская;101725;Архангельская область;Онежский муниципальный район;Анциферовская;д;1;0;63.35.18;038.59.36;63.58833333;38.99333333;11646444106;0;1;деревня
д. Бугава;46822;Архангельская область;Лешуконский муниципальный район;Бугава;д;1;0;65.08.17;045.36.06;65.13805556;45.60166667;11638428106;0;1;деревня
ст. Быстряги;92402;Республика Карелия;Сегежский;Быстряги;ст;1;0;63.13.15;034.20.52;63.22083333;34.34777778;86645444126;0;1;станция
д. Вагино;65497;Архангельская область;Приморский муниципальный район;Вагино;д;1;0;64.34.25;040.16.44;64.57361111;40.27888889;11652446136;0;1;деревня
пос. Вайново;104945;Архангельская область;Приморский муниципальный район;Вайново;п;1;0;64.19.39;041.25.44;64.3275;41.42888889;11652406276;0;1;поселок
д. Воньга;58617;Республика Карелия;Кемский;Воньга;д;1;0;65.26.26;034.16.53;65.44055556;34.28138889;86612444116;0;1;деревня
д. Воренжа;18663;Республика Карелия;Беломорский;Воренжа;д;1;0;63.53.28;035.14.14;63.89111111;35.23722222;86604433151;0;1;деревня
д. Городок;148678;Архангельская область;Пинежский муниципальный район;Городок;д;1;0;64.18.44;044.18.43;64.31222222;44.31194444;11648425116;1;0;деревня
пос. Дальние Зеленцы;91999;Мурманская область;Кольский муниципальный район;Дальние Зеленцы;нп;1;0;69.06.59;036.03.58;69.11638889;36.06611111;47605405106;1;0;поселок
д. Дряхлицино;69462;Архангельская область;Приморский муниципальный район;Дряхлицино;д;1;0;64.31.02;040.42.51;64.51722222;40.71416667;11652466106;1;0;деревня
д. Заборье;127886;Архангельская область;Пинежский муниципальный район;Заборье;д;1;0;64.42.43;043.33.44;64.71194444;43.56222222;11648427136;0;1;деревня
д. Заозерье (МР Пинежский 2);82305;Архангельская область;Пинежский муниципальный район;Заозерье (МР Пинежский 2);д;1;0;64.23.59;044.11.23;64.39972222;44.18972222;11648427141;0;1;деревня
д. Кадь;108868;Архангельская область;Приморский муниципальный район;Кадь;д;1;0;64.59.01;040.19.21;64.98361111;40.3225;11652460113;0;1;деревня
д. Кальчино;43648;Архангельская область;Приморский муниципальный район;Кальчино;д;1;0;64.34.46;040.25.37;64.57944444;40.42694444;11652446201;0;1;деревня
д. Кевятозеро;14291;Республика Карелия;Беломорский;Кевятозеро;д;1;0;64.33.39;033.14.55;64.56083333;33.24861111;86604430156;0;1;деревня
д. Козлы;81814;Архангельская область;Приморский муниципальный район;Козлы;д;1;0;65.15.06;039.52.59;65.25166667;39.88305556;11652460114;0;1;деревня
