Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
пос. Красная Горка;118645;Архангельская область;Пинежский муниципальный район;Красная Горка;п;92;15;64.35.34;043.17.32;64.59277778;43.29222222;11648427231;1;0;поселок
ст. Поньга;34803;Архангельская область;Онежский муниципальный район;Поньга;ж/д_ст;92;24;63.45.54;038.05.03;63.765;38.08416667;11646416131;1;0;станция
с. Юрома;52424;Архангельская область;Лешуконский муниципальный район;Юрома;с;92;13;65.08.35;045.34.57;65.14305556;45.5825;11638428101;0;1;село
д. Абезь;129805;Республика Коми;ГО Инта;Абезь (деревня);д;91;2;66.30.06;061.46.58;66.50166667;61.78277778;87715000106;0;1;деревня
ст. Вонгуда;26282;Архангельская область;Онежский муниципальный район;Вонгуда (станция);ж/д_ст;91;21;63.50.47;038.32.32;63.84638889;38.54222222;11646436116;0;1;станция
с. Ламутское;59971;Чукотский автономный округ;Анадырский район;Ламутское;с;91;14;65.32.05;168.51.14;65.53472222;168.8538889;77603428101;0;1;село
с. Алысардах;13147;Республика Саха (Якутия);Верхоянский;Алысардах;с;90;25;67.27.07;135.30.30;67.45194444;135.5083333;98616404106;0;1;село
д. Полга;41531;Республика Карелия;Сегежский;Полга;д;89;2;63.41.37;034.54.52;63.69361111;34.91444444;86645411116;0;1;деревня
д. Шижня;53118;Республика Карелия;Беломорский;Шижня;д;89;0;64.29.28;034.46.04;64.49111111;34.76777778;86604101141;0;1;деревня
с. Чаваньга;108101;Мурманская область;Терский муниципальный район;Чаваньга;с;87;15;66.06.34;037.45.34;66.10944444;37.75944444;47620401126;0;1;село
д. Вожмогора;81418;Республика Карелия;Сегежский;Вожмогора;д;85;10;63.27.27;035.24.58;63.4575;35.41611111;86645411106;1;0;деревня
с. Краснено;54411;Чукотский автономный округ;Анадырский район;Краснено;с;85;11;64.37.49;174.46.38;64.63027778;174.7772222;77603701902;0;1;село
с. Кузомень;80088;Мурманская область;Терский муниципальный район;Кузомень;с;84;12;66.17.16;036.51.42;66.28777778;36.86166667;47620401111;0;1;село
д. Усть-Войкар;140348;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Усть-Войкар;д;84;6;65.39.54;064.36.39;65.665;64.61083333;71926412;1;0;деревня
д. Кузьмино;153036;Архангельская область;Приморский муниципальный район;Кузьмино;д;83;14;64.23.00;040.57.23;64.38333333;40.95638889;11652406176;0;1;деревня
д. Земцово;126284;Архангельская область;Пинежский муниципальный район;Земцово;д;82;9;63.54.10;044.02.23;63.90277778;44.03972222;11648452111;0;1;деревня
д. Козьмогородское;83783;Архангельская область;Мезенский муниципальный район;Козьмогородское;д;82;22;65.30.47;044.53.41;65.51305556;44.89472222;11642424101;1;0;деревня
д. Патракеевка;140616;Архангельская область;Приморский муниципальный район;Патракеевка;д;82;23;64.57.50;040.23.02;64.96388889;40.38388889;11652460129;0;1;деревня
д. Посад;38326;Архангельская область;Онежский муниципальный район;Посад;д;82;23;63.06.36;039.14.22;63.11;39.23944444;11646444256;0;1;деревня
д. Хачела;23255;Архангельская область;Онежский муниципальный район;Хачела;д;82;19;63.25.00;039.04.45;63.41666667;39.07916667;11646444301;0;1;деревня
пос. Вылпосл;12014;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Вылпосл;п;81;11;66.38.56;067.16.08;66.64888889;67.26888889;71918403131;0;1;поселок
д. Майда;6968;Архангельская область;Мезенский муниципальный район;Майда;д;81;8;66.19.29;041.57.59;66.32472222;41.96638889;11642428111;0;1;деревня
д. Родома;81534;Архангельская область;Лешуконский муниципальный район;Родома;д;81;9;64.30.39;048.33.07;64.51083333;48.55194444;11638404121;0;1;деревня
с. Чапома;10401;Мурманская область;Терский муниципальный район;Чапома;с;81;10;66.06.13;038.52.13;66.10361111;38.87027778;47620401136;0;1;село
д. Чижа;81328;Ненецкий автономный округ;Заполярный район;Чижа;д;81;11;67.05.16;044.23.00;67.08777778;44.38333333;11811443106;0;1;деревня
пос. Пертозеро;119426;Республика Карелия;Сегежский;Пертозеро;п;80;9;64.09.55;033.09.38;64.16527778;33.16055556;86645450111;0;1;поселок
с. Кашкаранцы;91701;Мурманская область;Терский муниципальный район;Кашкаранцы;с;79;8;66.20.22;036.00.36;66.33944444;36.01;47620401116;0;1;село
пос. Широкое;22162;Архангельская область;Пинежский муниципальный район;Широкое;п;79;9;64.17.40;044.37.05;64.29444444;44.61805556;11648425156;0;1;поселок
д. Березник (МР Лешуконский);116682;Архангельская область;Лешуконский муниципальный район;Березник (МР Лешуконский);д;78;18;64.57.15;045.35.00;64.95416667;45.58333333;11638408106;0;1;деревня
пос. Курейка;122628;Красноярский край;Туруханский район;Курейка;п;78;10;66.27.56;087.10.13;66.46555556;87.17027778;4654701942;0;1;поселок
д. Лямца;126870;Архангельская область;Онежский муниципальный район;Лямца;д;78;11;64.26.35;037.03.52;64.44305556;37.06444444;11646432111;0;1;деревня
д. Малые Карелы;129702;Архангельская область;Приморский муниципальный район;Малые Карелы;д;78;15;64.27.06;040.55.59;64.45166667;40.93305556;11652466116;0;1;деревня
д. Ярпияг;31499;Республика Коми;ГО Инта;Ярпияг;д;78;10;66.31.19;062.00.49;66.52194444;62.01361111;87715000201;0;1;деревня
д. Кеба;42151;Архангельская область;Лешуконский муниципальный район;Кеба;д;76;3;64.21.26;046.12.14;64.35722222;46.20388889;11638416106;0;1;деревня
д. Кимжа;22416;Архангельская область;Мезенский муниципальный район;Кимжа;д;74;11;65.34.19;044.36.24;65.57194444;44.60666667;11642412106;0;1;деревня
